ID	Dist_neighbour	Neighbour_5m	Habitat	HAS	Rugosity	Invert_rich
182	0.5	6	Bommie	21	0.2926	5
183	0.5	6	Bommie	16	0.4006	2
184	2	7	Bommie	15	0.4499	4
185	1	16	Bommie	20	0.1171	9
186	1	15	Bommie	17	0.4183	2
187	1.2	7	Bommie	16	0.1520	5
188	2	8	Bommie	14	0.3702	3
189	1.5	11	Bommie	20	0.0216	5
190	3.7	2	Seagrass	17	0.4044	2
191	1	4	Seagrass	16	0.3672	0
192	1	4	Seagrass	15	0.6976	1
193	3	3	Seagrass	24	0.5163	6
