ID	Total_abun	Sp_rich	Dist_neighbour	Neighbour_5m	Habitat	HAS	Rugosity
168	7	3	1	8	Bommie	17	0.5126
169	4	4	1	8	Bommie	12	0.3794
170	5	3	1	9	Bommie	13	0.2555
171	8	5	2.25	3	Bommie	18	0.4294
172	0	0	1	8	Bommie	17	0.3489
173	16	9	1	10	Bommie	15	0.3985
174	10	7	0.5	9	Bommie	17	0.4174
175	18	9	0.5	9	Bommie	19	0.3660
176	75	15	1.5	8	Bommie	21	0.3404
177	2	2	2	7	Bommie	16	0.3114
178	32	12	2.1	5	Bommie	21	0.3308
179	1	1	2	7	Bommie	16	0.3240
180	1	1	2	3	Bommie	16	0.3606
181	8	5	0.5	9	Bommie	19	0.4061
182	15	10	0.5	6	Bommie	21	0.2926
183	0	0	0.5	6	Bommie	16	0.4006
184	6	2	2	7	Bommie	15	0.4499
185	15	4	1	16	Bommie	20	0.1171
186	1	1	1	15	Bommie	17	0.4183
187	17	7	1.2	7	Bommie	16	0.1520
188	2	2	2	8	Bommie	14	0.3702
189	29	8	1.5	11	Bommie	20	0.0216
190	3	2	3.7	2	Seagrass	17	0.4044
191	0	0	1	4	Seagrass	16	0.3672
192	3	2	1	4	Seagrass	15	0.6976
193	80	14	3	3	Seagrass	24	0.5163
