ID	Total_abun	Sp_rich	Habitat	Rugosity	Dist_neighbour	Neighbour_5m	HAS
149	12	8	Bommie	0.457708474	1	10	17
150	24	9	Bommie	0.224820564	1	9	19
151	13	9	Bommie	0.402664314	0.5	9	16
152	7	4	Bommie	0.366188139	2	6	16
153	17	6	Bommie	0.169149313	1	5	18
154	17	8	Bommie	0.451933879	0.5	18	19
155	16	6	Bommie	0.53197845	0.5	18	21
156	2	2	Bommie	0.407627214	1	21	14
157	8	7	Bommie	0.492528703	0.5	20	18
158	7	4	Bommie	0.511705438	0.5	21	19
159	6	3	Bommie	0.485354041	0.5	18	16
160	1	1	Bommie	0.394963142	0.5	15	16
161	6	2	Bommie	0.225549206	1	11	16
162	4	2	Bommie	0.484580698	1	18	18
163	3	2	Bommie	0.450269659	1	18	19
164	0	0	Bommie	0.347195679	1	18	13
165	7	3	Bommie	0.54572039	0.5	17	20
166	0	0	Bommie	0.353915354	0.5	11	10
167	9	3	Bommie	0.431492152	1.5	7	17
168	7	3	Bommie	0.512550009	1	8	17
169	4	4	Bommie	0.379406499	1	8	12
170	5	3	Bommie	0.255527323	1	9	13
171	8	5	Bommie	0.429423565	2.25	3	18
172	0	0	Bommie	0.348873745	1	8	17
173	16	9	Bommie	0.398530354	1	10	15
174	10	7	Bommie	0.417414411	0.5	9	17
175	18	9	Bommie	0.36601545	0.5	9	19
176	75	17	Bommie	0.340407088	1.5	8	21
177	2	2	Bommie	0.311433627	2	7	16
178	32	12	Bommie	0.330770558	2.1	5	21
179	1	1	Bommie	0.324042304	2	7	16
180	1	1	Bommie	0.36063817	2	3	16
181	8	5	Bommie	0.406127027	0.5	9	19
182	15	10	Bommie	0.292603068	0.5	6	21
183	0	0	Bommie	0.400605689	0.5	6	16
184	6	2	Bommie	0.449925836	2	7	15
185	15	4	Bommie	0.117094844	1	16	20
186	1	1	Bommie	0.418266773	1	15	17
187	17	7	Bommie	0.151964801	1.2	7	16
188	2	2	Bommie	0.370167187	2	8	14
189	29	8	Bommie	0.021648428	1.5	11	20
190	3	2	Seagrass	0.404380236	3.7	2	17
191	0	0	Seagrass	0.367237435	1	4	16
192	3	2	Seagrass	0.697580927	1	4	15
193	80	14	Seagrass	0.516303224	3	3	24
194	163	18	Crest	0.424807287			24
195	27	10	Crest	0.335675062			23
196	39	14	Crest	0.431115499			22
197	30	12	Crest	0.447998327			16
198	48	12	Crest	0.456684488			22
199	209	18	Crest	0.531845303			21
200	345	13	Crest	0.479959732			26
201	48	15	Crest	0.503774571			25
202	25	11	Crest	0.436540345			24
203	41	13	Crest	0.474305695			21
204	41	19	Crest	0.486636131			21
205	49	15	Crest	0.427011329			23
206	31	14	Crest	0.433590831			22
207	114	13	Crest	0.456251563			22
208	80	22	Crest	0.487260652			15
209	76	19	Crest	0.655524657			21
