ID	Dist_neighbour	Neighbour_5m	Habitat	HAS	HAS_2	Rugosity	Invert_rich	Invert_rich2
165	Very low	High	Bommie	Medium	Medium	High	2	2.0000001
166	Very low	Medium	Bommie	Very low	Low	Medium	4	4.0000001
167	Low	Medium	Bommie	Low	Medium	Medium	2	2.0000001
168	Low	Medium	Bommie	Low	Medium	High	1	1.0000001
169	Low	Medium	Bommie	Very low	Low	Medium	2	2.0000001
170	Low	Medium	Bommie	Very low	Low	Medium	5	5.0000001
171	Medium	Low	Bommie	Medium	Medium	Medium	4	4.0000001
172	Low	Medium	Bommie	Low	Medium	Medium	1	1.0000001
173	Low	Medium	Bommie	Low	Low	Medium	2	2.0000001
174	Very low	Medium	Bommie	Low	Medium	Medium	2	2.0000001
175	Very low	Medium	Bommie	Medium	Medium	Medium	6	6.0000001
176	Low	Medium	Bommie	High	Medium	Medium	3	3.0000001
177	Medium	Medium	Bommie	Low	Low	Medium	1	1.0000001
178	Medium	Low	Bommie	High	Medium	Medium	7	7.0000001
179	Medium	Medium	Bommie	Low	Low	Medium	0	0.0000001
180	Medium	Low	Bommie	Low	Low	Medium	0	0.0000001
181	Very low	Medium	Bommie	Medium	Medium	Medium	2	2.0000001
182	Very low	Medium	Bommie	High	Medium	Medium	5	5.0000001
183	Very low	Medium	Bommie	Low	Low	Medium	2	2.0000001
184	Medium	Medium	Bommie	Low	Low	Medium	4	4.0000001
185	Low	High	Bommie	Medium	Medium	Low	9	9.0000001
186	Low	High	Bommie	Low	Medium	Medium	2	2.0000001
187	Low	Medium	Bommie	Low	Low	Low	5	5.0000001
188	Medium	Medium	Bommie	Low	Low	Medium	3	3.0000001
189	Low	Medium	Bommie	Medium	Medium	Low	5	5.0000001
190	High	Low	Seagrass	Low	Medium	Medium	2	2.0000001
191	Low	Low	Seagrass	Low	Low	Medium	0	0.0000001
192	Low	Low	Seagrass	Low	Low	High	1	1.0000001
193	Medium	Low	Seagrass	Very high	High	High	6	6.0000001
